epoch,train_loss,val_loss,test_loss,avg_train_error,avg_val_error,test_accuracy
1,0.694330,0.709517,0.698244,0.499654,0.504805,0.463504
2,0.694793,0.693234,0.692466,0.500095,0.499866,0.478102
3,0.694525,0.714467,0.759718,0.499955,0.506714,0.456204
4,0.693401,0.704981,0.703727,0.499368,0.503304,0.500000
5,0.690159,0.702560,0.711007,0.497806,0.503057,0.503650
6,0.688635,0.680671,0.683611,0.497028,0.489821,0.551095
7,0.683781,0.705822,0.698565,0.494384,0.500092,0.481752
8,0.653434,0.710708,0.699178,0.478187,0.480150,0.543796
9,0.592542,0.785151,0.789907,0.443821,0.498406,0.492701
10,0.534405,0.733447,0.720021,0.408536,0.480592,0.547445
11,0.475241,0.739589,0.742136,0.369283,0.484001,0.496350
12,0.414557,0.801819,0.777291,0.326934,0.483907,0.521898
13,0.364092,1.558353,1.000793,0.289278,0.500106,0.492701
14,0.323457,1.208409,1.214862,0.257037,0.497747,0.507299
15,0.284149,1.518456,1.067849,0.225983,0.488984,0.507299
16,0.262617,1.985118,1.757985,0.205882,0.518073,0.474453
17,0.228648,1.836303,1.929021,0.179361,0.483051,0.492701
18,0.211409,1.007660,0.878343,0.165733,0.496405,0.532847
19,0.197865,1.678961,1.353211,0.154897,0.489715,0.481752
20,0.188616,1.174633,1.044320,0.148605,0.497682,0.481752
21,0.175042,1.793781,1.299619,0.139629,0.501107,0.518248
22,0.191143,1.835416,1.598562,0.145248,0.491099,0.496350
23,0.189614,1.724445,1.582339,0.143869,0.504601,0.448905
24,0.168712,2.579737,1.971516,0.129711,0.515139,0.474453
25,0.165797,1.584769,1.087184,0.128633,0.505191,0.470803
26,0.156552,2.037387,1.934078,0.121531,0.488813,0.514599
27,0.149430,1.707605,1.316454,0.117254,0.509568,0.481752
28,0.148906,3.534492,2.580490,0.114306,0.514250,0.510949
29,0.135429,2.951602,2.547444,0.106794,0.510731,0.529197
30,0.150593,1.463180,1.011439,0.113364,0.502489,0.478102
