epoch,train_loss,val_loss,test_loss,avg_train_error,avg_val_error,test_accuracy
1,0.706227,1.399985,1.403892,0.501576,0.516719,0.474453
2,0.693824,1.101517,1.049312,0.499639,0.516906,0.496350
3,0.690739,0.889755,0.873388,0.497064,0.518571,0.478102
4,0.691294,1.554955,1.425139,0.498214,0.519854,0.510949
5,0.687348,0.956942,0.912955,0.495954,0.516050,0.492701
6,0.685050,0.897954,0.871745,0.493900,0.514993,0.489051
7,0.684259,0.997350,0.983728,0.493110,0.516832,0.481752
8,0.683938,1.369191,1.397687,0.493252,0.513602,0.507299
9,0.676318,0.852911,0.827124,0.487836,0.514198,0.503650
10,0.678686,0.894965,0.915624,0.488655,0.506672,0.496350
11,0.677366,1.317631,1.389086,0.487913,0.514121,0.514599
12,0.672899,0.926389,0.940973,0.485917,0.513234,0.485401
13,0.673497,0.985438,1.046579,0.484962,0.507331,0.492701
14,0.671692,0.891159,0.903828,0.484578,0.509508,0.503650
15,0.672052,0.785402,0.807878,0.485063,0.504835,0.500000
16,0.668157,0.834268,0.861068,0.482073,0.505431,0.492701
17,0.664878,0.970256,1.035983,0.479566,0.511020,0.474453
18,0.663413,0.896074,0.910214,0.478975,0.504295,0.489051
19,0.668194,0.964324,0.958860,0.482319,0.506870,0.489051
20,0.661347,0.908104,0.905632,0.477366,0.508950,0.496350
21,0.663200,0.893120,0.891738,0.477940,0.511654,0.500000
22,0.658458,1.134084,1.226840,0.475319,0.507515,0.470803
23,0.656422,1.507362,1.593860,0.473848,0.493033,0.503650
24,0.653728,0.789081,0.826464,0.471568,0.497218,0.496350
25,0.651788,1.037957,1.110474,0.470616,0.515343,0.489051
26,0.652721,1.084969,1.143263,0.470236,0.516382,0.434307
27,0.645178,0.942394,0.974009,0.467999,0.512721,0.474453
28,0.642425,0.925740,0.938822,0.466073,0.508673,0.492701
29,0.642397,1.052125,1.102192,0.465350,0.500689,0.470803
30,0.637996,0.961358,0.982282,0.462329,0.500534,0.478102
