epoch,train_loss,val_loss,test_loss,avg_train_error,avg_val_error,test_accuracy
1,0.087303,0.086837,0.086951,0.497516,0.498077,0.489286
2,0.086951,0.087079,0.087324,0.495667,0.497507,0.489286
3,0.086184,0.085794,0.085962,0.492281,0.488340,0.528571
4,0.086258,0.085442,0.085763,0.491288,0.489315,0.532143
5,0.086273,0.084967,0.085328,0.492409,0.488185,0.532143
6,0.086280,0.085501,0.085649,0.492759,0.491663,0.525000
7,0.085682,0.084839,0.085266,0.489228,0.485674,0.532143
8,0.086054,0.085737,0.085915,0.489767,0.490799,0.514286
9,0.085573,0.085245,0.085509,0.489486,0.488902,0.514286
10,0.085128,0.085192,0.085243,0.486517,0.488135,0.525000
11,0.085734,0.084769,0.085261,0.489180,0.487590,0.517857
12,0.085883,0.084806,0.085073,0.489593,0.486593,0.521429
13,0.085607,0.084240,0.084679,0.488148,0.483333,0.528571
14,0.085950,0.085851,0.086135,0.488900,0.491961,0.500000
15,0.085592,0.084330,0.085051,0.487439,0.484469,0.528571
16,0.085354,0.085834,0.085804,0.486188,0.490354,0.510714
17,0.085185,0.085418,0.085530,0.486200,0.489845,0.510714
18,0.085116,0.084760,0.085151,0.485225,0.486521,0.496429
19,0.085283,0.085353,0.085970,0.486234,0.488149,0.517857
20,0.084991,0.085581,0.085611,0.483922,0.488894,0.510714
21,0.085258,0.085315,0.085302,0.483974,0.486935,0.525000
22,0.084911,0.085173,0.085047,0.484619,0.487324,0.489286
23,0.085418,0.088297,0.089006,0.485148,0.497722,0.471429
24,0.084058,0.084304,0.084500,0.480160,0.481431,0.528571
25,0.083734,0.086215,0.086950,0.476630,0.487585,0.514286
26,0.083485,0.086671,0.087828,0.474844,0.489640,0.496429
27,0.084093,0.086286,0.087861,0.479455,0.488805,0.510714
28,0.083247,0.088570,0.091113,0.475402,0.493763,0.500000
29,0.083209,0.086608,0.087023,0.474727,0.486528,0.507143
30,0.082749,0.086648,0.088800,0.471099,0.485540,0.525000
31,0.083232,0.087580,0.090717,0.473642,0.490318,0.510714
32,0.082139,0.088218,0.089414,0.468877,0.489326,0.500000
33,0.083148,0.090055,0.091368,0.472814,0.492202,0.517857
34,0.082396,0.090052,0.093787,0.467713,0.493764,0.507143
35,0.082507,0.087009,0.088373,0.470271,0.484179,0.528571
36,0.082667,0.089100,0.091725,0.469756,0.490505,0.507143
37,0.082804,0.089150,0.092267,0.470565,0.491126,0.500000
38,0.082217,0.088882,0.090133,0.468648,0.489530,0.496429
39,0.081865,0.088281,0.092672,0.467174,0.489536,0.521429
40,0.082265,0.088261,0.089820,0.466403,0.487449,0.507143
41,0.082580,0.088636,0.092149,0.469121,0.489977,0.514286
42,0.082459,0.089229,0.093216,0.468788,0.491397,0.514286
43,0.082093,0.088983,0.092197,0.467439,0.490034,0.503571
44,0.081756,0.089634,0.092925,0.466165,0.492303,0.496429
45,0.081857,0.089157,0.093069,0.466008,0.490543,0.503571
46,0.082197,0.089975,0.092571,0.467569,0.492094,0.507143
47,0.082595,0.090122,0.094005,0.468944,0.492486,0.500000
48,0.082172,0.089995,0.091527,0.467816,0.491765,0.503571
49,0.082142,0.089462,0.090586,0.466890,0.490349,0.492857
50,0.082422,0.089926,0.091447,0.467963,0.491183,0.500000
